하늘천 따지 검을현 누루황       天地玄黃
몰구 바퀴곡 떨칠진 갓끈영       驅?振纓


인간세 복록 사치치 부자부       世祿侈富
수레거 멍에가 살찔비 가벼울경   車駕肥輕
꾀책 공공 우거질무 열매실       策功茂實
굴레륵 비석비 새길각 새길명     勒碑刻銘
반계반 시내계 저이 맏윤         磻溪伊尹
도울좌 때시 언덕아 저울대형     佐時阿衡
문득엄 집택 굽을곡 언덕부       奄宅曲阜
작을미 아침단 누구숙 경영할영   微旦孰營
굳셀환 귀인공 바를광 모일합     桓公匡合
건널제 약할약 붙들부 기울경     濟弱扶傾
비단기 돌아올회 한수한 은혜혜   綺回漢惠
말씀설 느낄감 호반무 장정정     說感武丁
준걸준 어질예 빽빽할밀 말물     俊乂密勿
많을다 선비사 이식 편안할녕     多士寔寧
진나라진 초나라초 다시갱 으뜸패   晋楚更覇
조나라조 나라이름위 곤할곤 비낄횡   趙魏困橫
거짓가 길도 멸할멸 나라괵        假途滅?
밟을천 흙토 모을회 맹세맹       踐土會盟
어찌하 좇을준 언약약 법법       何遵約法
한나라한 해질폐 번거러울번 형벌형   韓弊煩刑
일어날기 자를전 자못파 칠목         起?頗牧
쓸용 군사군 가장최 정기정       用軍最精
베풀선 위엄위 모래사 아득할막   宣威沙漠
달릴치 기릴예 붉은단 푸를청     馳譽丹靑
아홉구 고을주 임금우 자취적     九州禹跡
일백백 고을군 진나라진 아우를병 百郡秦幷
큰산악 마루종 항상항 산이름대   嶽宗恒岱
선위할선 임금주 이를운 정자정   禪主云亭
기러기안 문문 자줏빛자 변방새   ?門紫塞
닭계 밭전 붉을적 재성           鷄田赤城
맏곤 못지 돌갈 돌석             昆池碣石
클거 들야 골동 뜰정             鉅野洞庭


빌광 멀원 솜면 멀막             曠遠綿邈
바위암 산굴수 어두울묘 어두울명   巖峀杳冥
다스릴치 근본본 어조사어 농사농   治本於農
힘쓸무 이자 심을가 거둘색       務玆稼穡
비롯할숙 실을재 남녁남 이랑묘    ?載南畝
나아 심을예 기장서 피직         我藝黍稷
거둘세 익을숙 바칠공 새신       稅熟貢新
권할권 상줄상 내칠출 오를척     勸賞黜陟
맏맹 수레가 도타울돈 흴소       孟軻敦素
사기사 물고기어 잡을병 곧을직   史魚秉直
여러서 몇기 가운데중 떳떳할용   庶幾中庸
수고할로 겸손할겸 삼갈근 칙서칙    勞謙謹勅
들을령 소리음 살필찰 다스릴리   聆音察理
거울감 모양모 분별변 빛색       鑑貌辨色
끼칠이 그궐 아름다울가 꾀유     貽厥嘉猷
힘쓸면 그기 공경지 심을식       勉其祗植
살필성 몸궁 나무랄기 경계할계   省躬譏誡
사랑총 더할증 겨룰항 극진할극   寵增抗極
위태할태 욕할욕 가까울근부끄러울치  殆辱近恥
수풀림 늪고 다행행 곧즉         林皐幸卽
두량 상소소 볼견 틀기           兩疏見機
풀해 짤조 누구수 핍박할핍       解組誰逼
찾을색 살거 한가할한 곳처       索居閑處
잠길침 잠잠할묵 고요할적 쓸쓸할요   沈?寂廖
